timestamp,chlorophyll_mg_m3,turbidity_NTU,cdom_mg_m3
2025-01-07 03:00:00,0.74,6.24,0.298
2025-01-07 04:00:00,3.0,4.06,0.748
2025-01-07 05:00:00,2.05,2.86,0.857
2025-01-07 06:00:00,2.13,2.53,0.86
2025-01-07 07:00:00,1.25,11.1,0.882
2025-01-07 08:00:00,1.31,6.07,0.67
2025-01-07 09:00:00,1.05,8.84,0.883
2025-01-07 10:00:00,2.85,3.49,1.237
2025-01-07 11:00:00,1.01,7.65,0.891
2025-01-07 12:00:00,2.97,4.2,1.29
2025-01-07 13:00:00,1.41,5.1,1.274
2025-01-07 14:00:00,1.26,4.58,0.819
2025-01-07 15:00:00,1.97,3.4,1.108
2025-01-07 16:00:00,1.59,3.43,0.638
2025-01-07 17:00:00,2.06,5.08,0.702
2025-01-07 18:00:00,1.47,3.98,0.994
2025-01-07 19:00:00,1.81,5.41,1.093
2025-01-07 20:00:00,1.55,3.48,1.369
2025-01-07 21:00:00,2.52,6.57,0.925
2025-01-07 22:00:00,2.31,4.24,1.01
2025-01-07 23:00:00,2.15,8.43,0.99
2025-01-08 00:00:00,2.66,4.74,1.428
2025-01-08 01:00:00,2.18,4.64,1.315
2025-01-08 02:00:00,2.13,8.05,1.076
2025-01-08 03:00:00,1.95,3.85,1.178
2025-01-08 04:00:00,1.59,4.03,1.067
2025-01-08 05:00:00,1.59,3.44,1.248
2025-01-08 06:00:00,2.11,5.25,1.195
2025-01-08 07:00:00,2.63,3.37,0.904
2025-01-08 08:00:00,2.37,6.4,1.005
2025-01-08 09:00:00,2.36,4.75,1.02
2025-01-08 10:00:00,1.36,6.52,1.018
2025-01-08 11:00:00,2.34,6.3,0.853
2025-01-08 12:00:00,1.78,3.82,1.064
2025-01-08 13:00:00,2.13,3.37,0.852
2025-01-08 14:00:00,2.35,4.19,0.833
2025-01-08 15:00:00,1.33,4.86,0.95
2025-01-08 16:00:00,2.12,5.51,1.047
2025-01-08 17:00:00,2.16,5.73,1.286
2025-01-08 18:00:00,2.62,4.78,1.157
2025-01-08 19:00:00,1.71,3.48,1.257
2025-01-08 20:00:00,1.99,3.67,1.423
2025-01-08 21:00:00,2.12,5.88,0.833
2025-01-08 22:00:00,1.71,3.54,1.158
2025-01-08 23:00:00,1.7,5.96,1.168
2025-01-09 00:00:00,1.7,5.72,1.054
2025-01-09 01:00:00,1.97,7.6,1.213
2025-01-09 02:00:00,3.09,3.57,1.012
2025-01-09 03:00:00,1.99,3.89,1.158
2025-01-09 04:00:00,2.34,0.09,0.636
2025-01-09 05:00:00,2.06,2.65,0.991
2025-01-09 06:00:00,1.86,2.62,1.167
2025-01-09 07:00:00,2.03,5.55,1.247
2025-01-09 08:00:00,2.5,8.15,0.775
2025-01-09 09:00:00,2.01,5.7,0.97
2025-01-09 10:00:00,1.95,6.52,0.724
2025-01-09 11:00:00,1.9,3.11,0.893
2025-01-09 12:00:00,1.45,2.14,1.069
2025-01-09 13:00:00,2.67,4.05,1.249
2025-01-09 14:00:00,1.77,3.29,1.216
2025-01-09 15:00:00,2.92,2.81,1.046
2025-01-09 16:00:00,2.19,4.97,0.827
2025-01-09 17:00:00,2.89,2.16,0.955
2025-01-09 18:00:00,1.92,6.19,1.625
2025-01-09 19:00:00,1.6,3.74,0.641
2025-01-09 20:00:00,2.67,4.45,0.688
2025-01-09 21:00:00,1.71,4.74,1.034
2025-01-09 22:00:00,2.81,3.6,1.167
2025-01-09 23:00:00,2.39,7.07,1.206
2025-01-10 00:00:00,2.94,1.04,1.069
2025-01-10 01:00:00,1.47,6.82,0.617
2025-01-10 02:00:00,2.63,3.56,0.942
2025-01-10 03:00:00,1.61,6.09,0.556
2025-01-10 04:00:00,0.62,4.65,1.096
2025-01-10 05:00:00,2.6,5.95,1.111
2025-01-10 06:00:00,2.06,4.01,0.965
2025-01-10 07:00:00,2.64,4.73,0.701
2025-01-10 08:00:00,2.12,6.45,0.792
2025-01-10 09:00:00,2.07,4.44,0.591
2025-01-10 10:00:00,2.96,6.91,0.984
2025-01-10 11:00:00,2.13,4.95,1.789
2025-01-10 12:00:00,1.77,2.78,0.971
2025-01-10 13:00:00,2.01,3.54,0.892
2025-01-10 14:00:00,2.15,6.03,1.051
2025-01-10 15:00:00,0.35,1.77,0.709
2025-01-10 16:00:00,2.35,5.84,0.718
2025-01-10 17:00:00,2.88,3.52,0.842
2025-01-10 18:00:00,2.03,1.67,1.218
2025-01-10 19:00:00,1.81,4.66,1.08
2025-01-10 20:00:00,2.29,2.85,0.957
2025-01-10 21:00:00,3.11,3.11,1.184
2025-01-10 22:00:00,2.34,3.0,1.424
2025-01-10 23:00:00,2.19,4.48,1.181
2025-01-11 00:00:00,1.84,3.22,0.745
2025-01-11 01:00:00,1.43,4.78,0.529
2025-01-11 02:00:00,2.09,6.02,0.564
2025-01-11 03:00:00,2.1,5.08,1.217
2025-01-11 04:00:00,0.91,7.61,0.81
2025-01-11 05:00:00,1.64,8.1,1.204
2025-01-11 06:00:00,2.77,3.42,0.886
2025-01-11 07:00:00,1.92,1.69,1.097
2025-01-11 08:00:00,0.6,3.42,1.175
2025-01-11 09:00:00,3.03,4.23,0.804
2025-01-11 10:00:00,1.54,8.45,1.206
2025-01-11 11:00:00,1.79,3.25,0.835
2025-01-11 12:00:00,2.71,4.55,0.824
2025-01-11 13:00:00,1.63,2.63,1.205
2025-01-11 14:00:00,0.89,3.3,1.158
2025-01-11 15:00:00,2.2,1.57,1.115
2025-01-11 16:00:00,2.55,1.07,0.724
2025-01-11 17:00:00,1.79,6.72,0.904
2025-01-11 18:00:00,2.0,6.13,1.172
2025-01-11 19:00:00,1.37,3.26,1.571
2025-01-11 20:00:00,1.48,6.12,1.453
2025-01-11 21:00:00,1.88,1.38,0.883
2025-01-11 22:00:00,2.46,3.65,0.835
2025-01-11 23:00:00,2.13,4.34,1.432
2025-01-12 00:00:00,2.7,6.32,1.149
2025-01-12 01:00:00,3.08,4.18,0.882
2025-01-12 02:00:00,2.62,4.88,1.031
2025-01-12 03:00:00,1.13,2.85,0.687
2025-01-12 04:00:00,1.92,4.31,1.251
2025-01-12 05:00:00,2.61,6.32,1.349
2025-01-12 06:00:00,2.01,0.55,1.384
2025-01-12 07:00:00,1.11,6.06,1.28
2025-01-12 08:00:00,1.75,3.37,0.919
2025-01-12 09:00:00,0.72,0.97,1.222
2025-01-12 10:00:00,1.92,3.25,1.364
2025-01-12 11:00:00,1.67,6.37,1.235
2025-01-12 12:00:00,1.87,2.82,1.212
2025-01-12 13:00:00,2.79,4.39,1.047
2025-01-12 14:00:00,1.29,0.56,0.772
2025-01-12 15:00:00,1.65,0.14,1.463
2025-01-12 16:00:00,1.4,1.63,0.99
2025-01-12 17:00:00,2.73,5.81,1.302
2025-01-12 18:00:00,2.76,3.68,1.618
2025-01-12 19:00:00,2.3,5.99,1.226
2025-01-12 20:00:00,2.27,6.1,1.293
2025-01-12 21:00:00,1.37,2.27,0.765
2025-01-12 22:00:00,2.2,6.92,0.817
2025-01-12 23:00:00,1.41,2.7,1.315
2025-01-13 00:00:00,2.12,5.63,0.857
2025-01-13 01:00:00,1.89,5.55,0.659
2025-01-13 02:00:00,1.74,3.76,0.579
2025-01-13 03:00:00,2.11,3.76,0.94
2025-01-13 04:00:00,2.5,4.27,0.937
2025-01-13 05:00:00,3.16,3.86,1.244
2025-01-13 06:00:00,2.42,2.85,0.747
2025-01-13 07:00:00,3.46,2.68,1.338
2025-01-13 08:00:00,2.21,2.87,0.691
2025-01-13 09:00:00,3.16,6.07,0.698
2025-01-13 10:00:00,2.35,0.45,1.029
2025-01-13 11:00:00,2.24,2.64,1.007
2025-01-13 12:00:00,1.99,2.98,1.139
2025-01-13 13:00:00,2.27,3.17,0.7
2025-01-13 14:00:00,2.35,4.22,1.082
2025-01-13 15:00:00,1.24,0.93,0.575
2025-01-13 16:00:00,2.51,5.68,0.445
2025-01-13 17:00:00,1.2,5.4,1.451
2025-01-13 18:00:00,2.51,4.98,1.256
2025-01-13 19:00:00,2.45,3.21,0.993
2025-01-13 20:00:00,2.95,2.15,0.488
2025-01-13 21:00:00,1.58,2.98,0.88
2025-01-13 22:00:00,1.5,3.75,1.106
2025-01-13 23:00:00,2.76,4.96,0.879
2025-01-14 00:00:00,1.45,3.37,1.376
2025-01-14 01:00:00,1.39,4.25,1.143
2025-01-14 02:00:00,2.22,2.66,0.755
2025-01-14 03:00:00,2.07,4.11,0.586
2025-01-14 04:00:00,2.19,3.03,1.204
2025-01-14 05:00:00,2.42,4.07,1.196
2025-01-14 06:00:00,2.42,0.0,1.174
2025-01-14 07:00:00,2.05,4.51,1.407
2025-01-14 08:00:00,2.13,4.61,1.1
2025-01-14 09:00:00,2.06,4.59,1.009
2025-01-14 10:00:00,2.12,1.56,1.177
2025-01-14 11:00:00,1.27,2.11,1.294
2025-01-14 12:00:00,2.55,1.8,1.157
2025-01-14 13:00:00,2.73,4.19,0.993
2025-01-14 14:00:00,2.48,4.85,1.228
2025-01-14 15:00:00,2.43,2.14,1.009
2025-01-14 16:00:00,1.5,6.16,0.863
2025-01-14 17:00:00,1.25,6.14,1.016
2025-01-14 18:00:00,2.6,3.81,0.906
2025-01-14 19:00:00,2.12,4.27,0.964
2025-01-14 20:00:00,2.2,0.17,0.774
2025-01-14 21:00:00,2.23,2.47,1.235
2025-01-14 22:00:00,2.25,1.03,1.039
2025-01-14 23:00:00,2.49,1.71,1.163
2025-01-15 00:00:00,2.04,4.53,1.094
2025-01-15 01:00:00,0.96,5.01,0.748
2025-01-15 02:00:00,2.51,5.1,1.304
2025-01-15 03:00:00,2.45,3.98,0.917
2025-01-15 04:00:00,1.32,4.55,0.883
2025-01-15 05:00:00,1.4,0.32,1.027
2025-01-15 06:00:00,2.63,0.92,1.032
2025-01-15 07:00:00,2.77,3.08,1.623
2025-01-15 08:00:00,0.5,4.69,1.122
2025-01-15 09:00:00,2.36,2.61,0.852
2025-01-15 10:00:00,1.97,0.78,1.448
2025-01-15 11:00:00,2.14,2.12,0.566
2025-01-15 12:00:00,2.18,1.63,0.853
2025-01-15 13:00:00,1.64,0.05,0.834
2025-01-15 14:00:00,2.49,7.95,0.972
2025-01-15 15:00:00,1.69,5.97,1.06
2025-01-15 16:00:00,2.55,0.45,1.082
2025-01-15 17:00:00,2.68,0.34,1.078
2025-01-15 18:00:00,1.58,1.89,1.131
2025-01-15 19:00:00,1.59,0.52,0.958
2025-01-15 20:00:00,2.17,8.27,1.296
2025-01-15 21:00:00,3.0,1.9,0.57
2025-01-15 22:00:00,1.74,4.22,0.335
2025-01-15 23:00:00,1.86,2.49,1.158
2025-01-16 00:00:00,2.29,1.2,0.875
2025-01-16 01:00:00,2.49,5.63,1.387
2025-01-16 02:00:00,2.41,4.84,1.218
2025-01-16 03:00:00,2.12,3.41,1.105
2025-01-16 04:00:00,1.92,8.3,0.836
2025-01-16 05:00:00,2.3,4.0,1.127
2025-01-16 06:00:00,0.18,2.62,0.858
2025-01-16 07:00:00,3.22,7.36,0.973
2025-01-16 08:00:00,1.99,4.34,0.876
2025-01-16 09:00:00,2.21,6.79,1.022
2025-01-16 10:00:00,3.36,3.45,0.895
2025-01-16 11:00:00,1.65,2.5,1.208
2025-01-16 12:00:00,3.5,0.42,1.071
2025-01-16 13:00:00,2.54,5.7,0.83
2025-01-16 14:00:00,2.37,2.35,0.846
2025-01-16 15:00:00,2.48,4.04,0.64
2025-01-16 16:00:00,1.59,5.8,0.47
2025-01-16 17:00:00,1.11,3.89,1.191
2025-01-16 18:00:00,1.39,1.81,0.869
2025-01-16 19:00:00,2.75,3.51,0.653
2025-01-16 20:00:00,1.54,3.75,1.069
2025-01-16 21:00:00,1.11,2.72,0.777
2025-01-16 22:00:00,2.05,0.76,0.94
2025-01-16 23:00:00,2.44,2.82,0.635
2025-01-17 00:00:00,2.12,3.44,1.101
2025-01-17 01:00:00,2.46,0.74,0.961
2025-01-17 02:00:00,2.79,1.79,1.064
2025-01-17 03:00:00,2.44,2.2,0.832
2025-01-17 04:00:00,2.0,0.09,1.001
2025-01-17 05:00:00,1.77,3.89,0.575
2025-01-17 06:00:00,2.56,4.1,1.508
2025-01-17 07:00:00,2.26,2.54,1.043
2025-01-17 08:00:00,1.58,0.89,1.366
2025-01-17 09:00:00,2.87,4.44,0.872
2025-01-17 10:00:00,2.25,4.72,0.676
2025-01-17 11:00:00,2.49,3.83,0.816
2025-01-17 12:00:00,1.86,3.71,0.928
2025-01-17 13:00:00,2.77,4.82,0.91
2025-01-17 14:00:00,1.14,3.44,1.404
2025-01-17 15:00:00,3.1,1.79,0.725
2025-01-17 16:00:00,0.93,3.49,0.788
2025-01-17 17:00:00,1.27,2.85,1.117
2025-01-17 18:00:00,2.24,3.49,0.542
2025-01-17 19:00:00,1.77,5.4,0.929
2025-01-17 20:00:00,1.9,1.23,0.974
2025-01-17 21:00:00,1.77,3.98,1.047
2025-01-17 22:00:00,1.62,1.12,1.026
2025-01-17 23:00:00,2.28,1.79,1.436
2025-01-18 00:00:00,2.06,6.93,0.696
2025-01-18 01:00:00,2.62,4.7,0.756
2025-01-18 02:00:00,2.13,4.11,1.07
2025-01-18 03:00:00,1.84,0.47,0.974
2025-01-18 04:00:00,2.55,3.31,1.005
2025-01-18 05:00:00,0.99,0.36,0.566
2025-01-18 06:00:00,0.54,3.86,1.463
2025-01-18 07:00:00,1.13,1.29,1.03
2025-01-18 08:00:00,1.88,4.9,0.522
2025-01-18 09:00:00,2.32,4.11,1.07
2025-01-18 10:00:00,0.48,1.35,0.642
2025-01-18 11:00:00,2.08,4.55,1.15
2025-01-18 12:00:00,1.87,7.97,0.589
2025-01-18 13:00:00,2.17,3.38,1.169
2025-01-18 14:00:00,0.94,5.55,0.612
2025-01-18 15:00:00,3.65,0.42,0.674
2025-01-18 16:00:00,2.1,4.72,0.952
2025-01-18 17:00:00,1.36,2.65,0.765
2025-01-18 18:00:00,2.16,3.25,0.779
2025-01-18 19:00:00,2.98,4.98,0.535
2025-01-18 20:00:00,1.31,3.3,0.835
2025-01-18 21:00:00,1.19,0.55,1.139
2025-01-18 22:00:00,2.01,6.84,1.387
2025-01-18 23:00:00,2.07,0.89,1.124
2025-01-19 00:00:00,2.5,2.32,1.065
2025-01-19 01:00:00,2.96,4.25,0.472
2025-01-19 02:00:00,2.54,4.27,0.887
2025-01-19 03:00:00,1.24,4.85,0.731
2025-01-19 04:00:00,1.43,4.26,0.516
2025-01-19 05:00:00,1.6,6.29,0.576
2025-01-19 06:00:00,2.54,4.98,1.061
2025-01-19 07:00:00,2.44,1.62,0.755
2025-01-19 08:00:00,2.83,1.2,0.525
2025-01-19 09:00:00,2.41,4.3,0.735
2025-01-19 10:00:00,1.7,6.93,0.966
2025-01-19 11:00:00,1.96,1.49,0.725
2025-01-19 12:00:00,1.2,1.9,0.591
2025-01-19 13:00:00,2.45,4.71,0.664
2025-01-19 14:00:00,1.7,4.96,1.115
2025-01-19 15:00:00,2.81,6.24,0.374
2025-01-19 16:00:00,2.43,7.28,0.827
2025-01-19 17:00:00,3.24,4.47,0.865
2025-01-19 18:00:00,2.33,2.14,0.705
2025-01-19 19:00:00,2.31,2.2,0.654
2025-01-19 20:00:00,1.96,2.91,1.14
2025-01-19 21:00:00,1.84,6.06,1.139
2025-01-19 22:00:00,1.92,3.0,0.92
2025-01-19 23:00:00,2.67,5.92,0.758
2025-01-20 00:00:00,1.25,1.2,0.897
2025-01-20 01:00:00,2.1,4.82,0.969
2025-01-20 02:00:00,1.06,2.75,0.84
2025-01-20 03:00:00,2.28,5.29,0.976
2025-01-20 04:00:00,1.78,3.74,0.78
2025-01-20 05:00:00,2.36,5.85,0.081
2025-01-20 06:00:00,1.61,3.38,0.82
2025-01-20 07:00:00,1.91,4.2,1.04
2025-01-20 08:00:00,2.44,5.87,0.876
2025-01-20 09:00:00,2.14,4.05,0.954
2025-01-20 10:00:00,2.99,4.37,0.801
2025-01-20 11:00:00,1.77,5.77,0.82
2025-01-20 12:00:00,1.72,4.1,0.911
2025-01-20 13:00:00,2.8,1.08,1.354
2025-01-20 14:00:00,1.84,3.11,1.079
2025-01-20 15:00:00,1.81,0.4,1.046
2025-01-20 16:00:00,2.29,3.75,0.92
2025-01-20 17:00:00,1.96,5.19,0.535
2025-01-20 18:00:00,1.87,4.5,1.175
2025-01-20 19:00:00,1.64,7.04,1.095
2025-01-20 20:00:00,2.88,6.82,0.96
2025-01-20 21:00:00,1.97,4.76,0.857
2025-01-20 22:00:00,1.72,0.53,1.005
2025-01-20 23:00:00,1.88,5.59,0.811
2025-01-21 00:00:00,2.26,2.99,1.024
2025-01-21 01:00:00,2.92,6.3,0.632
2025-01-21 02:00:00,1.94,5.16,0.364
2025-01-21 03:00:00,1.53,5.85,0.541
2025-01-21 04:00:00,3.19,5.54,0.877
2025-01-21 05:00:00,2.12,9.32,0.766
2025-01-21 06:00:00,1.98,5.58,0.805
2025-01-21 07:00:00,2.09,1.98,0.518
2025-01-21 08:00:00,1.3,6.68,0.917
2025-01-21 09:00:00,2.02,3.68,0.582
2025-01-21 10:00:00,2.5,7.23,0.966
2025-01-21 11:00:00,2.77,7.62,0.488
2025-01-21 12:00:00,1.83,5.78,0.632
2025-01-21 13:00:00,2.16,1.98,0.598
2025-01-21 14:00:00,2.79,3.62,0.985
2025-01-21 15:00:00,2.07,7.22,0.726
2025-01-21 16:00:00,2.47,8.53,0.948
2025-01-21 17:00:00,2.3,4.66,1.127
2025-01-21 18:00:00,1.64,3.99,1.287
2025-01-21 19:00:00,1.49,2.18,0.899
2025-01-21 20:00:00,2.68,2.2,0.566
2025-01-21 21:00:00,0.44,5.0,1.154
2025-01-21 22:00:00,1.64,5.94,1.219
2025-01-21 23:00:00,1.21,1.56,0.827
2025-01-22 00:00:00,2.66,6.5,1.144
2025-01-22 01:00:00,2.84,7.59,0.897
2025-01-22 02:00:00,1.59,6.1,0.399
2025-01-22 03:00:00,3.68,8.15,0.656
2025-01-22 04:00:00,2.85,5.55,0.688
2025-01-22 05:00:00,2.14,5.57,0.723
2025-01-22 06:00:00,2.92,5.54,0.581
2025-01-22 07:00:00,1.64,7.56,0.573
2025-01-22 08:00:00,1.86,5.92,1.15
2025-01-22 09:00:00,2.3,3.78,0.38
2025-01-22 10:00:00,1.61,5.69,0.633
2025-01-22 11:00:00,1.25,5.71,0.969
2025-01-22 12:00:00,1.46,4.42,0.675
2025-01-22 13:00:00,1.9,6.89,0.914
2025-01-22 14:00:00,2.3,5.03,0.714
2025-01-22 15:00:00,1.82,6.25,0.923
2025-01-22 16:00:00,1.04,5.86,0.554
2025-01-22 17:00:00,2.31,3.39,0.349
2025-01-22 18:00:00,2.79,2.88,0.714
2025-01-22 19:00:00,1.63,3.41,0.367
2025-01-22 20:00:00,3.02,4.68,0.797
2025-01-22 21:00:00,2.54,8.03,0.53
2025-01-22 22:00:00,1.39,4.75,0.533
2025-01-22 23:00:00,1.63,5.59,1.182
2025-01-23 00:00:00,1.81,6.9,0.854
2025-01-23 01:00:00,1.89,4.44,0.402
2025-01-23 02:00:00,0.54,4.33,0.774
2025-01-23 03:00:00,1.55,7.26,0.75
2025-01-23 04:00:00,1.67,6.29,0.269
2025-01-23 05:00:00,3.14,4.03,0.873
2025-01-23 06:00:00,2.14,4.33,1.024
2025-01-23 07:00:00,1.52,5.33,0.68
2025-01-23 08:00:00,1.74,5.82,0.713
2025-01-23 09:00:00,2.26,7.64,0.647
2025-01-23 10:00:00,1.77,6.22,0.882
2025-01-23 11:00:00,1.65,3.19,0.724
2025-01-23 12:00:00,1.67,3.58,0.734
2025-01-23 13:00:00,2.29,5.78,0.584
2025-01-23 14:00:00,1.17,5.44,1.296
2025-01-23 15:00:00,1.35,3.47,0.721
2025-01-23 16:00:00,1.44,7.26,0.961
2025-01-23 17:00:00,1.34,0.66,0.852
2025-01-23 18:00:00,1.51,5.83,0.146
2025-01-23 19:00:00,2.54,2.06,0.693
2025-01-23 20:00:00,2.62,6.92,0.498
2025-01-23 21:00:00,2.16,4.63,1.03
2025-01-23 22:00:00,2.13,6.65,0.469
2025-01-23 23:00:00,1.6,4.37,0.91
2025-01-24 00:00:00,0.73,8.12,1.008
2025-01-24 01:00:00,2.06,1.73,0.829
2025-01-24 02:00:00,2.15,7.22,0.759
2025-01-24 03:00:00,1.57,4.25,0.659
2025-01-24 04:00:00,1.33,6.21,0.728
