timestamp,sea_level_residual_m,significant_wave_height_m,wave_period_s,swell_direction_deg
2025-01-08 15:00:00,0.107,1.15,6.45,167.0
2025-01-08 16:00:00,-0.307,1.1,5.86,276.0
2025-01-08 17:00:00,-0.335,1.1,5.72,161.0
2025-01-08 18:00:00,0.074,1.35,4.33,198.0
2025-01-08 19:00:00,-0.535,0.74,6.67,255.0
2025-01-08 20:00:00,-0.648,1.25,3.96,142.0
2025-01-08 21:00:00,-0.221,0.71,6.3,168.0
2025-01-08 22:00:00,-0.492,1.62,4.11,161.0
2025-01-08 23:00:00,-0.483,1.3,6.33,119.0
2025-01-09 00:00:00,-0.091,0.82,6.29,243.0
2025-01-09 01:00:00,-0.016,1.12,6.78,157.0
2025-01-09 02:00:00,-0.037,0.75,7.33,145.0
2025-01-09 03:00:00,0.043,1.69,7.55,162.0
2025-01-09 04:00:00,0.076,1.74,4.36,217.0
2025-01-09 05:00:00,-0.767,1.37,6.22,185.0
2025-01-09 06:00:00,-0.122,1.72,8.71,148.0
2025-01-09 07:00:00,-0.367,1.15,6.44,196.0
2025-01-09 08:00:00,-0.421,1.4,5.3,213.0
2025-01-09 09:00:00,-0.094,1.58,6.2,179.0
2025-01-09 10:00:00,-0.667,1.09,5.83,171.0
2025-01-09 11:00:00,-0.672,1.12,4.88,221.0
2025-01-09 12:00:00,-0.076,1.47,7.34,173.0
2025-01-09 13:00:00,-0.113,1.35,7.0,244.0
2025-01-09 14:00:00,-0.2,0.79,4.69,150.0
2025-01-09 15:00:00,-0.455,0.22,6.18,149.0
2025-01-09 16:00:00,-0.049,1.02,5.61,144.0
2025-01-09 17:00:00,-0.064,0.25,4.37,170.0
2025-01-09 18:00:00,-0.213,0.7,4.6,180.0
2025-01-09 19:00:00,-0.529,0.74,4.77,127.0
2025-01-09 20:00:00,-0.341,0.87,6.22,184.0
2025-01-09 21:00:00,-0.025,1.42,5.74,203.0
2025-01-09 22:00:00,0.097,1.51,5.14,121.0
2025-01-09 23:00:00,-0.316,1.3,5.82,159.0
2025-01-10 00:00:00,-0.355,1.36,7.22,203.0
2025-01-10 01:00:00,-0.333,1.37,6.75,136.0
2025-01-10 02:00:00,-0.224,0.1,7.52,167.0
2025-01-10 03:00:00,-0.438,1.11,6.05,224.0
2025-01-10 04:00:00,-1.016,0.38,8.24,252.0
2025-01-10 05:00:00,0.006,1.31,6.74,198.0
2025-01-10 06:00:00,0.156,0.27,5.73,173.0
2025-01-10 07:00:00,-0.446,1.03,6.43,160.0
2025-01-10 08:00:00,-0.559,1.32,4.82,216.0
2025-01-10 09:00:00,-0.327,0.66,5.95,225.0
2025-01-10 10:00:00,-0.339,1.49,6.84,134.0
2025-01-10 11:00:00,-0.044,1.31,7.06,216.0
2025-01-10 12:00:00,-0.279,1.25,5.83,156.0
2025-01-10 13:00:00,-0.491,1.38,9.6,146.0
2025-01-10 14:00:00,-0.622,0.96,6.11,174.0
2025-01-10 15:00:00,-0.076,1.16,4.31,220.0
2025-01-10 16:00:00,-0.143,1.11,7.78,192.0
2025-01-10 17:00:00,-0.027,1.1,7.05,191.0
2025-01-10 18:00:00,-0.535,0.83,6.6,194.0
2025-01-10 19:00:00,0.167,0.61,5.76,199.0
2025-01-10 20:00:00,-0.728,0.97,6.79,175.0
2025-01-10 21:00:00,-0.115,0.95,8.26,205.0
2025-01-10 22:00:00,-0.77,0.81,6.56,154.0
2025-01-10 23:00:00,-0.49,1.44,4.56,206.0
2025-01-11 00:00:00,0.098,0.64,2.2,214.0
2025-01-11 01:00:00,-0.085,1.04,6.81,208.0
2025-01-11 02:00:00,-0.429,1.58,5.16,210.0
2025-01-11 03:00:00,-0.422,1.48,6.23,199.0
2025-01-11 04:00:00,-0.267,1.6,5.38,227.0
2025-01-11 05:00:00,-0.164,0.88,5.29,89.0
2025-01-11 06:00:00,0.02,1.43,5.43,214.0
2025-01-11 07:00:00,-0.407,0.69,5.54,259.0
2025-01-11 08:00:00,-0.695,1.0,7.28,155.0
2025-01-11 09:00:00,-0.253,1.04,7.04,151.0
2025-01-11 10:00:00,-0.407,0.88,4.9,231.0
2025-01-11 11:00:00,-0.618,0.97,5.06,143.0
2025-01-11 12:00:00,-0.218,0.92,6.8,153.0
2025-01-11 13:00:00,-0.346,0.72,7.61,187.0
2025-01-11 14:00:00,-0.216,1.45,7.59,148.0
2025-01-11 15:00:00,-0.516,1.04,5.14,215.0
2025-01-11 16:00:00,-0.171,1.19,7.53,148.0
2025-01-11 17:00:00,-0.622,1.18,4.22,194.0
2025-01-11 18:00:00,-0.499,1.13,6.1,191.0
2025-01-11 19:00:00,-0.353,1.15,6.93,247.0
2025-01-11 20:00:00,0.143,0.99,3.85,227.0
2025-01-11 21:00:00,-0.096,1.68,8.86,159.0
2025-01-11 22:00:00,-0.023,1.42,7.94,129.0
2025-01-11 23:00:00,0.062,1.12,7.12,214.0
2025-01-12 00:00:00,0.666,0.94,5.21,154.0
2025-01-12 01:00:00,-0.224,1.07,6.29,167.0
2025-01-12 02:00:00,0.121,1.29,7.32,138.0
2025-01-12 03:00:00,0.019,1.72,5.02,207.0
2025-01-12 04:00:00,0.014,0.57,6.16,154.0
2025-01-12 05:00:00,0.209,1.39,7.46,179.0
2025-01-12 06:00:00,-0.339,1.57,4.58,179.0
2025-01-12 07:00:00,-0.359,0.53,6.77,187.0
2025-01-12 08:00:00,-0.155,1.05,4.27,206.0
2025-01-12 09:00:00,-0.28,0.7,5.24,170.0
2025-01-12 10:00:00,-0.155,1.29,5.77,150.0
2025-01-12 11:00:00,0.156,0.98,6.99,106.0
2025-01-12 12:00:00,-0.354,1.07,5.53,184.0
2025-01-12 13:00:00,-0.311,0.96,6.52,174.0
2025-01-12 14:00:00,-0.191,1.41,5.55,152.0
2025-01-12 15:00:00,-0.292,1.21,5.73,183.0
2025-01-12 16:00:00,-0.713,1.21,7.87,214.0
2025-01-12 17:00:00,-0.38,1.19,4.99,224.0
2025-01-12 18:00:00,-0.063,1.35,7.28,119.0
2025-01-12 19:00:00,0.125,1.02,6.37,166.0
2025-01-12 20:00:00,-0.523,1.8,5.68,218.0
2025-01-12 21:00:00,-0.524,0.63,4.91,244.0
2025-01-12 22:00:00,-0.227,0.43,5.0,147.0
2025-01-12 23:00:00,-0.753,0.4,5.49,235.0
2025-01-13 00:00:00,-0.241,0.3,6.21,126.0
2025-01-13 01:00:00,-0.564,1.4,7.12,226.0
2025-01-13 02:00:00,0.212,1.35,6.03,169.0
2025-01-13 03:00:00,-0.322,1.61,6.11,243.0
2025-01-13 04:00:00,0.283,0.71,6.29,161.0
2025-01-13 05:00:00,0.148,1.43,6.97,168.0
2025-01-13 06:00:00,-0.292,1.15,7.17,175.0
2025-01-13 07:00:00,-0.398,1.2,4.73,119.0
2025-01-13 08:00:00,-0.179,1.38,6.06,110.0
2025-01-13 09:00:00,-0.156,0.83,7.87,200.0
2025-01-13 10:00:00,-0.044,2.17,4.81,220.0
2025-01-13 11:00:00,-0.324,1.66,6.48,204.0
2025-01-13 12:00:00,0.056,0.92,6.19,130.0
2025-01-13 13:00:00,-0.064,0.7,5.71,199.0
2025-01-13 14:00:00,-0.215,1.1,8.3,140.0
2025-01-13 15:00:00,-0.308,1.2,6.44,196.0
2025-01-13 16:00:00,-0.176,1.56,8.21,225.0
2025-01-13 17:00:00,-0.334,0.66,6.4,195.0
2025-01-13 18:00:00,-0.116,1.25,6.95,239.0
2025-01-13 19:00:00,-0.109,0.52,5.7,174.0
2025-01-13 20:00:00,-0.065,1.31,5.71,171.0
2025-01-13 21:00:00,0.311,1.09,6.89,183.0
2025-01-13 22:00:00,-0.163,1.91,6.91,126.0
2025-01-13 23:00:00,0.121,0.51,7.11,164.0
2025-01-14 00:00:00,0.057,1.69,6.87,167.0
2025-01-14 01:00:00,-0.06,0.46,4.81,169.0
2025-01-14 02:00:00,-0.03,0.61,5.45,191.0
2025-01-14 03:00:00,-0.015,0.47,7.43,121.0
2025-01-14 04:00:00,0.07,1.24,4.06,134.0
2025-01-14 05:00:00,-0.24,0.67,6.77,225.0
2025-01-14 06:00:00,-0.366,0.6,6.28,100.0
2025-01-14 07:00:00,0.164,1.22,7.43,205.0
2025-01-14 08:00:00,0.225,1.32,6.91,165.0
2025-01-14 09:00:00,0.186,1.16,5.62,186.0
2025-01-14 10:00:00,0.039,1.08,5.56,242.0
2025-01-14 11:00:00,0.192,1.87,5.79,175.0
2025-01-14 12:00:00,0.178,1.2,7.11,205.0
2025-01-14 13:00:00,0.197,1.46,3.65,182.0
2025-01-14 14:00:00,-0.215,1.2,6.6,176.0
2025-01-14 15:00:00,-0.274,0.7,5.35,171.0
2025-01-14 16:00:00,-0.097,1.36,6.64,208.0
2025-01-14 17:00:00,-0.004,0.88,6.83,151.0
2025-01-14 18:00:00,-0.06,1.1,4.42,135.0
2025-01-14 19:00:00,-0.469,1.26,6.14,183.0
2025-01-14 20:00:00,0.43,0.36,6.6,188.0
2025-01-14 21:00:00,-0.069,0.5,6.52,107.0
2025-01-14 22:00:00,0.043,1.5,6.27,180.0
2025-01-14 23:00:00,0.311,0.88,4.95,131.0
2025-01-15 00:00:00,-0.456,0.9,5.15,205.0
2025-01-15 01:00:00,0.002,1.22,4.78,108.0
2025-01-15 02:00:00,0.033,1.0,7.1,257.0
2025-01-15 03:00:00,0.046,1.32,6.29,166.0
2025-01-15 04:00:00,0.087,1.13,6.37,145.0
2025-01-15 05:00:00,0.492,1.23,4.39,169.0
2025-01-15 06:00:00,0.299,0.87,6.39,202.0
2025-01-15 07:00:00,0.37,1.23,7.19,216.0
2025-01-15 08:00:00,0.142,1.59,4.22,169.0
2025-01-15 09:00:00,-0.22,0.92,5.79,122.0
2025-01-15 10:00:00,-0.39,1.52,4.55,132.0
2025-01-15 11:00:00,-0.252,1.13,5.93,191.0
2025-01-15 12:00:00,0.22,1.44,5.35,219.0
2025-01-15 13:00:00,0.138,1.2,6.89,225.0
2025-01-15 14:00:00,0.078,1.14,6.64,187.0
2025-01-15 15:00:00,0.038,1.29,7.98,219.0
2025-01-15 16:00:00,0.633,1.64,6.37,256.0
2025-01-15 17:00:00,-0.076,1.24,6.84,228.0
2025-01-15 18:00:00,0.362,1.34,5.76,217.0
2025-01-15 19:00:00,0.131,1.0,5.11,148.0
2025-01-15 20:00:00,0.115,1.78,7.43,219.0
2025-01-15 21:00:00,0.424,1.41,7.92,198.0
2025-01-15 22:00:00,0.496,1.18,7.28,206.0
2025-01-15 23:00:00,0.07,1.1,6.59,230.0
2025-01-16 00:00:00,0.434,1.55,5.28,194.0
2025-01-16 01:00:00,0.326,0.92,7.82,176.0
2025-01-16 02:00:00,0.236,0.45,7.14,137.0
2025-01-16 03:00:00,0.286,1.19,8.88,168.0
2025-01-16 04:00:00,0.063,1.63,5.06,189.0
2025-01-16 05:00:00,0.158,1.8,7.48,191.0
2025-01-16 06:00:00,0.089,1.12,7.11,190.0
2025-01-16 07:00:00,0.46,1.18,6.04,218.0
2025-01-16 08:00:00,0.211,1.37,8.09,215.0
2025-01-16 09:00:00,-0.09,1.05,6.93,178.0
2025-01-16 10:00:00,0.054,1.37,5.33,146.0
2025-01-16 11:00:00,-0.565,1.12,6.31,195.0
2025-01-16 12:00:00,0.111,1.56,5.31,270.0
2025-01-16 13:00:00,0.244,1.45,5.89,193.0
2025-01-16 14:00:00,0.201,1.48,7.29,168.0
2025-01-16 15:00:00,0.73,1.08,7.64,201.0
2025-01-16 16:00:00,0.378,1.93,6.71,204.0
2025-01-16 17:00:00,0.367,1.35,5.55,203.0
2025-01-16 18:00:00,-0.176,1.26,6.91,235.0
2025-01-16 19:00:00,0.143,0.85,7.32,195.0
2025-01-16 20:00:00,0.113,1.12,4.08,233.0
2025-01-16 21:00:00,0.038,1.2,6.59,189.0
2025-01-16 22:00:00,0.035,0.84,6.22,240.0
2025-01-16 23:00:00,-0.217,1.04,7.59,228.0
2025-01-17 00:00:00,-0.026,1.1,6.93,217.0
2025-01-17 01:00:00,0.511,1.19,7.04,212.0
2025-01-17 02:00:00,0.257,0.46,5.89,272.0
2025-01-17 03:00:00,0.166,1.11,6.47,223.0
2025-01-17 04:00:00,0.291,1.02,7.6,146.0
2025-01-17 05:00:00,0.584,1.16,6.39,190.0
2025-01-17 06:00:00,0.294,1.58,6.67,169.0
2025-01-17 07:00:00,0.428,1.99,4.62,263.0
2025-01-17 08:00:00,0.081,1.44,6.38,230.0
2025-01-17 09:00:00,0.138,0.67,4.05,261.0
2025-01-17 10:00:00,0.381,1.03,5.84,150.0
2025-01-17 11:00:00,0.766,1.41,6.54,224.0
2025-01-17 12:00:00,0.65,1.36,7.38,125.0
2025-01-17 13:00:00,0.438,1.56,5.26,116.0
2025-01-17 14:00:00,0.33,1.13,6.91,164.0
2025-01-17 15:00:00,0.643,1.02,8.23,240.0
2025-01-17 16:00:00,0.491,1.87,5.69,140.0
2025-01-17 17:00:00,-0.281,1.19,4.61,179.0
2025-01-17 18:00:00,0.029,0.76,6.81,228.0
2025-01-17 19:00:00,0.377,1.76,5.03,214.0
2025-01-17 20:00:00,-0.154,0.57,5.48,269.0
2025-01-17 21:00:00,0.068,0.23,7.57,180.0
2025-01-17 22:00:00,0.118,1.48,8.72,162.0
2025-01-17 23:00:00,0.228,1.53,5.26,136.0
2025-01-18 00:00:00,0.221,1.34,5.59,165.0
2025-01-18 01:00:00,0.22,0.66,5.95,136.0
2025-01-18 02:00:00,0.499,1.15,5.82,108.0
2025-01-18 03:00:00,0.226,1.07,8.8,259.0
2025-01-18 04:00:00,0.196,0.96,5.84,182.0
2025-01-18 05:00:00,-0.045,1.74,6.01,284.0
2025-01-18 06:00:00,0.549,0.76,8.41,146.0
2025-01-18 07:00:00,0.125,1.3,7.17,163.0
2025-01-18 08:00:00,0.021,1.65,7.66,149.0
2025-01-18 09:00:00,0.346,1.33,5.39,154.0
2025-01-18 10:00:00,0.101,1.67,5.84,215.0
2025-01-18 11:00:00,0.161,1.4,5.23,203.0
2025-01-18 12:00:00,0.357,1.35,7.44,215.0
2025-01-18 13:00:00,0.211,1.32,7.95,234.0
2025-01-18 14:00:00,0.87,1.42,5.76,224.0
2025-01-18 15:00:00,0.274,1.02,6.04,140.0
2025-01-18 16:00:00,0.447,0.66,6.09,159.0
2025-01-18 17:00:00,-0.193,1.56,4.62,185.0
2025-01-18 18:00:00,0.077,1.64,5.67,329.0
2025-01-18 19:00:00,0.021,1.28,7.4,211.0
2025-01-18 20:00:00,0.054,0.96,5.43,184.0
2025-01-18 21:00:00,0.396,0.55,6.59,207.0
2025-01-18 22:00:00,0.551,1.21,4.91,156.0
2025-01-18 23:00:00,0.379,0.64,6.3,190.0
2025-01-19 00:00:00,0.178,0.59,5.81,218.0
2025-01-19 01:00:00,0.077,1.18,5.02,179.0
2025-01-19 02:00:00,0.513,0.88,7.43,150.0
2025-01-19 03:00:00,0.752,1.32,7.5,177.0
2025-01-19 04:00:00,0.268,1.12,5.32,167.0
2025-01-19 05:00:00,0.469,0.94,6.23,126.0
2025-01-19 06:00:00,0.32,0.5,6.54,157.0
2025-01-19 07:00:00,0.423,0.84,4.31,124.0
2025-01-19 08:00:00,-0.057,0.86,4.81,131.0
2025-01-19 09:00:00,0.113,0.69,8.03,134.0
2025-01-19 10:00:00,0.333,1.05,5.21,218.0
2025-01-19 11:00:00,0.538,0.73,7.99,240.0
2025-01-19 12:00:00,0.03,1.12,4.87,119.0
2025-01-19 13:00:00,-0.274,1.28,7.28,243.0
2025-01-19 14:00:00,0.11,0.85,6.11,135.0
2025-01-19 15:00:00,0.487,1.35,6.28,210.0
2025-01-19 16:00:00,-0.161,0.64,8.71,190.0
2025-01-19 17:00:00,-0.06,0.74,4.98,205.0
2025-01-19 18:00:00,0.274,1.14,7.2,133.0
2025-01-19 19:00:00,0.206,1.46,7.15,108.0
2025-01-19 20:00:00,0.383,1.53,10.51,148.0
2025-01-19 21:00:00,-0.073,1.83,5.19,197.0
2025-01-19 22:00:00,0.153,1.03,5.73,258.0
2025-01-19 23:00:00,0.533,1.13,7.46,139.0
2025-01-20 00:00:00,-0.168,0.78,6.25,176.0
2025-01-20 01:00:00,0.499,0.69,5.94,150.0
2025-01-20 02:00:00,-0.137,1.28,7.64,179.0
2025-01-20 03:00:00,0.343,0.88,6.17,103.0
2025-01-20 04:00:00,0.037,1.69,5.42,240.0
2025-01-20 05:00:00,-0.156,0.61,7.36,181.0
2025-01-20 06:00:00,0.006,1.39,6.94,217.0
2025-01-20 07:00:00,0.266,0.79,6.12,171.0
2025-01-20 08:00:00,0.128,0.86,6.06,188.0
2025-01-20 09:00:00,0.41,1.41,5.39,225.0
2025-01-20 10:00:00,0.489,0.92,7.36,185.0
2025-01-20 11:00:00,-0.166,0.99,6.06,187.0
2025-01-20 12:00:00,-0.184,0.87,5.57,148.0
2025-01-20 13:00:00,-0.196,1.91,4.95,159.0
2025-01-20 14:00:00,-0.095,0.95,6.96,139.0
2025-01-20 15:00:00,0.406,1.21,5.88,150.0
2025-01-20 16:00:00,0.27,1.11,4.08,230.0
