timestamp,ais_density_ships_per_km2,distance_to_nearest_outfall_km,dumping_hotspot_flag
2025-01-03 04:00:00,1.129,3.31,0
2025-01-03 05:00:00,1.241,7.62,0
2025-01-03 06:00:00,1.232,4.15,0
2025-01-03 07:00:00,0.912,1.98,0
2025-01-03 08:00:00,1.322,1.84,0
2025-01-03 09:00:00,0.182,7.6,0
2025-01-03 10:00:00,1.376,2.17,0
2025-01-03 11:00:00,1.72,2.24,0
2025-01-03 12:00:00,2.219,3.55,0
2025-01-03 13:00:00,1.755,4.82,0
2025-01-03 14:00:00,0.34,1.27,0
2025-01-03 15:00:00,2.035,3.0,0
2025-01-03 16:00:00,2.08,1.09,0
2025-01-03 17:00:00,0.648,3.22,0
2025-01-03 18:00:00,0.96,4.98,0
2025-01-03 19:00:00,2.063,3.05,0
2025-01-03 20:00:00,1.233,7.04,0
2025-01-03 21:00:00,0.565,1.98,0
2025-01-03 22:00:00,0.499,3.89,0
2025-01-03 23:00:00,1.854,5.85,0
2025-01-04 00:00:00,1.115,5.32,0
2025-01-04 01:00:00,0.689,8.26,0
2025-01-04 02:00:00,1.371,4.08,0
2025-01-04 03:00:00,0.764,1.89,0
2025-01-04 04:00:00,1.285,3.65,0
2025-01-04 05:00:00,1.032,1.99,0
2025-01-04 06:00:00,0.997,3.72,0
2025-01-04 07:00:00,1.499,5.72,0
2025-01-04 08:00:00,1.523,4.75,0
2025-01-04 09:00:00,1.68,3.31,0
2025-01-04 10:00:00,2.177,2.26,0
2025-01-04 11:00:00,2.527,4.09,0
2025-01-04 12:00:00,1.447,4.45,0
2025-01-04 13:00:00,0.055,1.24,0
2025-01-04 14:00:00,1.726,1.67,0
2025-01-04 15:00:00,1.044,2.98,0
2025-01-04 16:00:00,0.185,1.1,0
2025-01-04 17:00:00,1.614,0.24,0
2025-01-04 18:00:00,1.464,1.64,0
2025-01-04 19:00:00,0.717,4.19,0
2025-01-04 20:00:00,0.488,3.68,0
2025-01-04 21:00:00,1.358,2.7,0
2025-01-04 22:00:00,1.002,1.81,0
2025-01-04 23:00:00,0.484,4.16,0
2025-01-05 00:00:00,1.065,4.07,0
2025-01-05 01:00:00,0.632,5.74,0
2025-01-05 02:00:00,1.018,1.02,0
2025-01-05 03:00:00,0.926,0.36,0
2025-01-05 04:00:00,0.226,5.19,0
2025-01-05 05:00:00,0.843,4.35,0
2025-01-05 06:00:00,1.1,5.18,0
2025-01-05 07:00:00,0.756,1.89,0
2025-01-05 08:00:00,0.442,2.8,0
2025-01-05 09:00:00,1.069,1.2,0
2025-01-05 10:00:00,0.988,0.7,0
2025-01-05 11:00:00,1.591,3.75,0
2025-01-05 12:00:00,1.113,6.05,0
2025-01-05 13:00:00,1.253,3.2,0
2025-01-05 14:00:00,1.396,2.21,0
2025-01-05 15:00:00,0.922,1.48,0
2025-01-05 16:00:00,0.602,5.5,0
2025-01-05 17:00:00,2.528,3.65,0
2025-01-05 18:00:00,1.153,3.72,0
2025-01-05 19:00:00,1.074,0.9,0
2025-01-05 20:00:00,2.048,1.85,0
2025-01-05 21:00:00,1.555,4.82,0
2025-01-05 22:00:00,1.378,2.55,0
2025-01-05 23:00:00,0.644,2.33,0
2025-01-06 00:00:00,0.939,8.02,0
2025-01-06 01:00:00,1.034,3.63,0
2025-01-06 02:00:00,1.695,3.19,0
2025-01-06 03:00:00,0.968,3.26,0
2025-01-06 04:00:00,0.986,2.28,0
2025-01-06 05:00:00,0.395,3.37,1
2025-01-06 06:00:00,0.447,6.99,0
2025-01-06 07:00:00,2.013,4.24,0
2025-01-06 08:00:00,1.407,0.63,0
2025-01-06 09:00:00,1.468,2.71,0
2025-01-06 10:00:00,1.844,3.69,0
2025-01-06 11:00:00,1.711,0.79,0
2025-01-06 12:00:00,1.633,2.66,0
2025-01-06 13:00:00,1.582,1.77,0
2025-01-06 14:00:00,1.283,2.79,0
2025-01-06 15:00:00,1.325,3.63,0
2025-01-06 16:00:00,1.75,4.76,0
2025-01-06 17:00:00,0.637,1.42,0
2025-01-06 18:00:00,0.57,3.35,0
2025-01-06 19:00:00,1.249,2.91,0
2025-01-06 20:00:00,1.289,3.1,0
2025-01-06 21:00:00,1.09,2.03,0
2025-01-06 22:00:00,0.711,3.41,0
2025-01-06 23:00:00,0.489,4.39,0
2025-01-07 00:00:00,1.041,0.99,0
2025-01-07 01:00:00,1.339,6.61,1
2025-01-07 02:00:00,0.946,5.19,0
2025-01-07 03:00:00,0.218,0.67,0
2025-01-07 04:00:00,0.91,6.1,0
2025-01-07 05:00:00,0.027,6.23,0
2025-01-07 06:00:00,1.175,2.59,0
2025-01-07 07:00:00,0.006,3.87,1
2025-01-07 08:00:00,0.942,3.66,0
2025-01-07 09:00:00,1.507,1.02,0
2025-01-07 10:00:00,1.029,5.35,0
2025-01-07 11:00:00,1.889,0.11,0
2025-01-07 12:00:00,1.331,4.02,0
2025-01-07 13:00:00,0.526,6.32,0
2025-01-07 14:00:00,1.74,0.46,0
2025-01-07 15:00:00,1.614,2.97,0
2025-01-07 16:00:00,1.964,5.55,0
2025-01-07 17:00:00,1.626,4.22,0
2025-01-07 18:00:00,1.482,5.0,0
2025-01-07 19:00:00,0.604,2.26,0
2025-01-07 20:00:00,1.688,1.81,0
2025-01-07 21:00:00,0.741,3.14,0
2025-01-07 22:00:00,1.122,3.98,0
2025-01-07 23:00:00,1.692,4.58,0
2025-01-08 00:00:00,1.283,4.3,0
2025-01-08 01:00:00,0.914,5.26,0
2025-01-08 02:00:00,0.829,3.71,0
2025-01-08 03:00:00,0.633,1.61,0
2025-01-08 04:00:00,0.129,1.06,0
2025-01-08 05:00:00,0.819,4.87,0
2025-01-08 06:00:00,0.892,5.31,0
2025-01-08 07:00:00,1.393,7.05,0
2025-01-08 08:00:00,0.89,7.86,0
2025-01-08 09:00:00,1.333,5.25,0
2025-01-08 10:00:00,1.948,4.16,0
2025-01-08 11:00:00,1.294,2.74,0
2025-01-08 12:00:00,0.548,1.93,0
2025-01-08 13:00:00,0.702,3.62,0
2025-01-08 14:00:00,1.614,3.31,0
2025-01-08 15:00:00,1.652,6.93,0
2025-01-08 16:00:00,0.677,4.55,0
2025-01-08 17:00:00,1.183,3.09,0
2025-01-08 18:00:00,1.743,1.91,0
2025-01-08 19:00:00,2.232,4.46,0
2025-01-08 20:00:00,1.306,3.75,0
2025-01-08 21:00:00,0.72,2.69,0
2025-01-08 22:00:00,0.652,2.26,0
2025-01-08 23:00:00,0.857,4.49,0
2025-01-09 00:00:00,1.356,2.77,0
2025-01-09 01:00:00,0.858,2.92,0
2025-01-09 02:00:00,1.0,2.63,0
2025-01-09 03:00:00,0.231,8.6,0
2025-01-09 04:00:00,1.438,3.78,0
2025-01-09 05:00:00,1.335,2.02,0
2025-01-09 06:00:00,1.022,1.13,0
2025-01-09 07:00:00,1.137,0.55,0
2025-01-09 08:00:00,1.908,2.97,0
2025-01-09 09:00:00,2.967,6.55,0
2025-01-09 10:00:00,0.189,7.62,0
2025-01-09 11:00:00,0.893,3.07,0
2025-01-09 12:00:00,0.963,4.16,0
2025-01-09 13:00:00,1.825,3.2,0
2025-01-09 14:00:00,1.413,4.32,0
2025-01-09 15:00:00,0.893,3.07,0
2025-01-09 16:00:00,0.35,2.5,0
2025-01-09 17:00:00,1.807,2.32,0
2025-01-09 18:00:00,1.08,4.78,0
2025-01-09 19:00:00,0.505,5.84,1
2025-01-09 20:00:00,0.791,2.69,0
2025-01-09 21:00:00,0.63,4.81,0
2025-01-09 22:00:00,0.68,3.78,0
2025-01-09 23:00:00,0.382,2.81,0
2025-01-10 00:00:00,0.387,4.72,0
2025-01-10 01:00:00,1.748,5.93,0
2025-01-10 02:00:00,0.932,2.02,0
2025-01-10 03:00:00,0.635,2.92,0
2025-01-10 04:00:00,0.951,6.14,0
2025-01-10 05:00:00,0.864,3.42,0
2025-01-10 06:00:00,0.656,2.07,0
2025-01-10 07:00:00,0.051,3.81,0
2025-01-10 08:00:00,0.881,3.52,0
2025-01-10 09:00:00,1.09,5.4,0
2025-01-10 10:00:00,1.134,3.42,0
2025-01-10 11:00:00,0.101,3.48,0
2025-01-10 12:00:00,2.688,3.41,0
2025-01-10 13:00:00,2.642,3.8,0
2025-01-10 14:00:00,1.467,6.23,0
2025-01-10 15:00:00,1.215,4.8,0
2025-01-10 16:00:00,0.861,1.62,0
2025-01-10 17:00:00,1.547,4.01,0
2025-01-10 18:00:00,1.13,4.12,0
2025-01-10 19:00:00,1.951,4.18,0
2025-01-10 20:00:00,1.748,0.84,0
2025-01-10 21:00:00,0.46,3.76,0
2025-01-10 22:00:00,0.525,2.48,0
2025-01-10 23:00:00,1.188,0.8,0
2025-01-11 00:00:00,1.078,5.68,0
2025-01-11 01:00:00,0.355,2.99,0
2025-01-11 02:00:00,0.617,3.02,0
2025-01-11 03:00:00,0.738,5.09,0
2025-01-11 04:00:00,0.785,5.34,0
2025-01-11 05:00:00,0.771,3.05,0
2025-01-11 06:00:00,1.74,3.55,0
2025-01-11 07:00:00,1.287,1.68,0
2025-01-11 08:00:00,1.248,1.8,0
2025-01-11 09:00:00,0.746,5.84,0
2025-01-11 10:00:00,1.301,3.58,0
2025-01-11 11:00:00,1.183,5.25,0
2025-01-11 12:00:00,0.912,3.2,0
2025-01-11 13:00:00,0.51,4.26,0
2025-01-11 14:00:00,1.966,0.36,0
2025-01-11 15:00:00,2.268,5.05,0
2025-01-11 16:00:00,1.347,3.45,0
2025-01-11 17:00:00,2.061,2.65,0
2025-01-11 18:00:00,1.338,4.63,0
2025-01-11 19:00:00,0.368,5.29,0
2025-01-11 20:00:00,1.38,2.77,0
2025-01-11 21:00:00,0.664,1.35,0
2025-01-11 22:00:00,0.99,6.5,0
2025-01-11 23:00:00,1.428,3.11,0
2025-01-12 00:00:00,0.597,0.05,0
2025-01-12 01:00:00,0.955,2.74,0
2025-01-12 02:00:00,1.144,4.31,0
2025-01-12 03:00:00,1.342,3.35,0
2025-01-12 04:00:00,1.194,3.27,0
2025-01-12 05:00:00,0.354,2.87,0
2025-01-12 06:00:00,0.53,2.74,0
2025-01-12 07:00:00,1.659,1.2,0
2025-01-12 08:00:00,0.969,1.16,0
2025-01-12 09:00:00,0.61,4.16,0
2025-01-12 10:00:00,1.913,5.71,0
2025-01-12 11:00:00,0.978,3.0,0
2025-01-12 12:00:00,2.178,5.99,0
2025-01-12 13:00:00,0.936,5.48,0
2025-01-12 14:00:00,0.752,3.26,0
2025-01-12 15:00:00,1.161,4.65,0
2025-01-12 16:00:00,1.655,4.38,0
2025-01-12 17:00:00,1.376,2.59,0
2025-01-12 18:00:00,2.335,0.38,0
2025-01-12 19:00:00,1.303,3.75,0
2025-01-12 20:00:00,1.094,4.76,0
2025-01-12 21:00:00,1.404,2.5,0
2025-01-12 22:00:00,1.038,7.11,0
2025-01-12 23:00:00,0.635,5.36,0
2025-01-13 00:00:00,0.895,0.85,0
2025-01-13 01:00:00,0.887,3.15,0
2025-01-13 02:00:00,0.718,1.99,0
2025-01-13 03:00:00,0.873,2.84,0
2025-01-13 04:00:00,0.285,4.68,0
2025-01-13 05:00:00,0.658,3.05,0
2025-01-13 06:00:00,1.459,2.47,0
2025-01-13 07:00:00,0.883,3.67,0
2025-01-13 08:00:00,0.665,4.87,0
2025-01-13 09:00:00,1.176,4.85,0
2025-01-13 10:00:00,0.916,4.61,0
2025-01-13 11:00:00,0.407,5.97,0
2025-01-13 12:00:00,0.422,3.34,0
2025-01-13 13:00:00,1.445,2.85,0
2025-01-13 14:00:00,1.254,3.22,0
2025-01-13 15:00:00,1.388,2.04,0
2025-01-13 16:00:00,1.021,2.0,0
2025-01-13 17:00:00,0.292,4.83,0
2025-01-13 18:00:00,0.676,5.0,0
2025-01-13 19:00:00,1.007,1.26,0
2025-01-13 20:00:00,1.462,5.19,0
2025-01-13 21:00:00,0.101,2.76,0
2025-01-13 22:00:00,0.124,2.36,0
2025-01-13 23:00:00,1.38,2.91,0
2025-01-14 00:00:00,1.039,1.23,0
2025-01-14 01:00:00,0.45,3.2,0
2025-01-14 02:00:00,0.706,6.95,0
2025-01-14 03:00:00,0.632,0.71,0
2025-01-14 04:00:00,0.916,4.61,0
2025-01-14 05:00:00,0.597,5.25,0
2025-01-14 06:00:00,0.511,4.55,0
2025-01-14 07:00:00,1.494,6.26,0
2025-01-14 08:00:00,2.289,5.27,0
2025-01-14 09:00:00,1.518,4.71,0
2025-01-14 10:00:00,1.245,5.37,0
2025-01-14 11:00:00,1.071,5.29,0
2025-01-14 12:00:00,0.727,2.87,0
2025-01-14 13:00:00,0.955,4.64,0
2025-01-14 14:00:00,1.435,3.01,1
2025-01-14 15:00:00,1.912,1.1,0
2025-01-14 16:00:00,1.939,6.81,0
2025-01-14 17:00:00,1.302,2.5,0
2025-01-14 18:00:00,1.312,5.47,0
2025-01-14 19:00:00,1.231,4.46,1
2025-01-14 20:00:00,1.543,1.89,0
2025-01-14 21:00:00,0.819,2.1,0
2025-01-14 22:00:00,0.826,4.22,0
2025-01-14 23:00:00,0.456,4.22,0
2025-01-15 00:00:00,0.446,2.82,0
2025-01-15 01:00:00,0.524,0.65,0
2025-01-15 02:00:00,0.896,4.95,0
2025-01-15 03:00:00,0.677,1.77,0
2025-01-15 04:00:00,1.833,4.13,0
2025-01-15 05:00:00,0.955,5.54,0
2025-01-15 06:00:00,2.142,0.17,0
2025-01-15 07:00:00,2.091,3.79,0
2025-01-15 08:00:00,1.455,2.81,0
2025-01-15 09:00:00,1.175,3.85,0
2025-01-15 10:00:00,0.661,5.26,0
2025-01-15 11:00:00,0.839,1.08,0
2025-01-15 12:00:00,1.704,3.1,0
2025-01-15 13:00:00,1.362,3.2,0
2025-01-15 14:00:00,0.815,0.01,0
2025-01-15 15:00:00,1.076,4.53,0
2025-01-15 16:00:00,1.398,6.43,0
2025-01-15 17:00:00,1.215,4.71,0
2025-01-15 18:00:00,1.057,3.73,0
2025-01-15 19:00:00,1.167,5.09,0
2025-01-15 20:00:00,0.249,2.43,0
2025-01-15 21:00:00,0.807,1.91,0
2025-01-15 22:00:00,0.377,4.42,0
2025-01-15 23:00:00,0.945,3.91,0
2025-01-16 00:00:00,0.854,4.07,0
2025-01-16 01:00:00,1.099,1.95,0
2025-01-16 02:00:00,1.103,0.79,0
2025-01-16 03:00:00,1.488,1.63,0
2025-01-16 04:00:00,0.007,1.96,0
2025-01-16 05:00:00,0.75,0.17,0
2025-01-16 06:00:00,0.024,4.36,0
2025-01-16 07:00:00,1.494,1.18,0
2025-01-16 08:00:00,1.1,1.08,0
2025-01-16 09:00:00,0.918,3.03,0
2025-01-16 10:00:00,1.36,1.87,0
2025-01-16 11:00:00,0.568,0.66,0
2025-01-16 12:00:00,2.309,0.86,0
2025-01-16 13:00:00,1.053,4.46,0
2025-01-16 14:00:00,1.246,2.89,0
2025-01-16 15:00:00,1.123,0.78,0
2025-01-16 16:00:00,1.753,6.12,0
2025-01-16 17:00:00,0.479,2.22,0
2025-01-16 18:00:00,1.697,4.45,0
2025-01-16 19:00:00,0.889,3.31,0
2025-01-16 20:00:00,0.894,3.68,0
2025-01-16 21:00:00,1.152,3.54,0
2025-01-16 22:00:00,0.693,1.02,0
2025-01-16 23:00:00,1.046,7.54,0
2025-01-17 00:00:00,1.053,2.13,0
2025-01-17 01:00:00,0.66,4.99,0
2025-01-17 02:00:00,0.893,2.08,0
2025-01-17 03:00:00,0.606,1.51,0
2025-01-17 04:00:00,0.792,5.96,0
2025-01-17 05:00:00,0.989,6.3,0
2025-01-17 06:00:00,0.626,4.32,0
2025-01-17 07:00:00,1.464,4.95,0
2025-01-17 08:00:00,1.391,1.24,0
2025-01-17 09:00:00,0.307,4.69,0
2025-01-17 10:00:00,0.752,4.67,0
2025-01-17 11:00:00,0.785,4.29,0
2025-01-17 12:00:00,0.933,6.46,0
2025-01-17 13:00:00,0.626,0.6,0
2025-01-17 14:00:00,1.763,3.18,0
2025-01-17 15:00:00,1.836,6.17,0
2025-01-17 16:00:00,0.727,1.5,0
2025-01-17 17:00:00,0.507,4.67,0
2025-01-17 18:00:00,1.192,2.63,0
2025-01-17 19:00:00,1.998,3.66,0
2025-01-17 20:00:00,2.493,1.6,0
2025-01-17 21:00:00,0.53,7.57,0
2025-01-17 22:00:00,0.11,1.44,0
2025-01-17 23:00:00,0.205,3.27,0
2025-01-18 00:00:00,0.087,3.03,0
2025-01-18 01:00:00,0.967,5.43,0
2025-01-18 02:00:00,0.839,3.63,0
2025-01-18 03:00:00,0.887,0.66,0
2025-01-18 04:00:00,1.25,2.34,0
2025-01-18 05:00:00,1.452,0.39,0
2025-01-18 06:00:00,1.706,3.63,0
2025-01-18 07:00:00,1.641,6.71,0
2025-01-18 08:00:00,0.316,3.14,0
2025-01-18 09:00:00,0.895,4.11,0
2025-01-18 10:00:00,2.031,5.48,0
2025-01-18 11:00:00,0.87,2.26,0
2025-01-18 12:00:00,1.863,5.48,0
2025-01-18 13:00:00,1.274,6.94,0
2025-01-18 14:00:00,1.67,0.31,0
2025-01-18 15:00:00,0.677,5.55,0
2025-01-18 16:00:00,1.658,0.83,0
2025-01-18 17:00:00,0.816,2.11,0
2025-01-18 18:00:00,1.338,5.54,0
2025-01-18 19:00:00,1.183,4.08,0
2025-01-18 20:00:00,1.915,2.67,1
2025-01-18 21:00:00,1.133,7.52,0
2025-01-18 22:00:00,0.094,2.91,1
2025-01-18 23:00:00,0.476,5.47,0
2025-01-19 00:00:00,0.546,2.95,0
2025-01-19 01:00:00,1.077,4.32,0
2025-01-19 02:00:00,0.602,4.39,0
2025-01-19 03:00:00,0.364,3.64,0
2025-01-19 04:00:00,0.254,0.95,0
2025-01-19 05:00:00,1.091,4.0,0
2025-01-19 06:00:00,0.044,2.46,0
2025-01-19 07:00:00,1.833,2.68,0
2025-01-19 08:00:00,0.428,4.57,0
2025-01-19 09:00:00,0.931,4.44,0
2025-01-19 10:00:00,0.499,2.14,0
2025-01-19 11:00:00,0.649,3.89,0
2025-01-19 12:00:00,1.066,3.54,0
2025-01-19 13:00:00,1.118,1.95,0
2025-01-19 14:00:00,0.272,2.06,0
2025-01-19 15:00:00,0.957,2.09,0
2025-01-19 16:00:00,1.262,3.48,0
2025-01-19 17:00:00,1.481,2.95,0
2025-01-19 18:00:00,0.025,3.88,0
2025-01-19 19:00:00,0.913,1.92,0
2025-01-19 20:00:00,0.032,3.19,0
2025-01-19 21:00:00,0.597,3.32,0
2025-01-19 22:00:00,0.628,4.09,0
2025-01-19 23:00:00,1.052,6.15,0
2025-01-20 00:00:00,1.189,5.43,0
2025-01-20 01:00:00,0.391,3.37,0
2025-01-20 02:00:00,0.918,0.63,0
2025-01-20 03:00:00,1.062,2.58,0
2025-01-20 04:00:00,0.501,5.16,0
2025-01-20 05:00:00,1.109,3.4,0
2025-01-20 06:00:00,1.282,1.24,0
2025-01-20 07:00:00,1.036,3.13,0
2025-01-20 08:00:00,1.285,2.65,0
2025-01-20 09:00:00,0.252,5.77,0
2025-01-20 10:00:00,1.284,2.45,0
2025-01-20 11:00:00,0.693,4.25,0
2025-01-20 12:00:00,1.217,4.74,0
2025-01-20 13:00:00,0.957,1.27,0
2025-01-20 14:00:00,1.373,2.16,0
2025-01-20 15:00:00,1.915,2.73,0
2025-01-20 16:00:00,1.276,3.75,0
2025-01-20 17:00:00,1.8,2.43,0
2025-01-20 18:00:00,0.586,1.02,0
2025-01-20 19:00:00,2.06,1.69,0
2025-01-20 20:00:00,0.592,5.19,0
2025-01-20 21:00:00,0.299,7.23,0
2025-01-20 22:00:00,0.69,4.05,0
2025-01-20 23:00:00,0.622,5.44,0
2025-01-21 00:00:00,0.167,4.14,0
2025-01-21 01:00:00,0.349,4.76,0
2025-01-21 02:00:00,0.638,4.83,0
2025-01-21 03:00:00,0.26,4.72,0
2025-01-21 04:00:00,0.536,4.14,0
2025-01-21 05:00:00,1.396,3.76,0
2025-01-21 06:00:00,1.628,2.77,0
2025-01-21 07:00:00,1.394,4.45,0
2025-01-21 08:00:00,2.499,4.06,0
2025-01-21 09:00:00,0.125,1.87,0
2025-01-21 10:00:00,1.159,5.64,0
2025-01-21 11:00:00,2.421,5.28,0
2025-01-21 12:00:00,0.896,3.85,0
2025-01-21 13:00:00,0.703,5.62,0
2025-01-21 14:00:00,1.69,4.81,0
2025-01-21 15:00:00,0.866,2.71,0
2025-01-21 16:00:00,1.956,0.23,0
2025-01-21 17:00:00,1.699,0.17,0
2025-01-21 18:00:00,1.086,5.77,0
2025-01-21 19:00:00,1.788,3.45,0
2025-01-21 20:00:00,1.059,2.83,0
2025-01-21 21:00:00,0.853,2.31,0
2025-01-21 22:00:00,1.034,3.61,0
2025-01-21 23:00:00,0.644,5.15,0
2025-01-22 00:00:00,1.404,2.04,0
2025-01-22 01:00:00,0.828,3.67,0
2025-01-22 02:00:00,0.916,8.28,0
2025-01-22 03:00:00,0.273,6.77,0
2025-01-22 04:00:00,0.542,0.52,0
2025-01-22 05:00:00,0.865,0.23,0
2025-01-22 06:00:00,1.721,6.75,0
2025-01-22 07:00:00,2.048,5.11,0
2025-01-22 08:00:00,0.564,3.59,0
2025-01-22 09:00:00,0.704,4.45,0
2025-01-22 10:00:00,0.462,2.93,0
2025-01-22 11:00:00,1.496,2.3,0
2025-01-22 12:00:00,2.048,4.81,0
2025-01-22 13:00:00,1.105,3.33,0
2025-01-22 14:00:00,1.235,5.06,0
2025-01-22 15:00:00,1.28,2.51,0
2025-01-22 16:00:00,0.919,4.78,0
2025-01-22 17:00:00,0.467,4.06,0
2025-01-22 18:00:00,1.836,1.1,0
2025-01-22 19:00:00,1.293,6.15,0
2025-01-22 20:00:00,0.871,0.97,0
2025-01-22 21:00:00,2.002,5.9,0
2025-01-22 22:00:00,0.799,4.32,0
2025-01-22 23:00:00,0.115,4.65,0
2025-01-23 00:00:00,1.062,2.61,0
2025-01-23 01:00:00,0.063,2.84,0
2025-01-23 02:00:00,0.986,3.51,0
2025-01-23 03:00:00,0.976,1.18,0
2025-01-23 04:00:00,1.352,4.54,0
2025-01-23 05:00:00,0.399,2.85,0
2025-01-23 06:00:00,1.024,0.32,0
2025-01-23 07:00:00,1.159,6.9,0
2025-01-23 08:00:00,1.719,3.98,0
2025-01-23 09:00:00,1.461,4.09,0
2025-01-23 10:00:00,1.511,2.26,0
2025-01-23 11:00:00,1.931,4.1,0
2025-01-23 12:00:00,1.067,4.82,0
2025-01-23 13:00:00,2.078,0.88,0
2025-01-23 14:00:00,1.147,4.59,0
2025-01-23 15:00:00,1.737,1.59,0
2025-01-23 16:00:00,0.903,1.18,0
2025-01-23 17:00:00,1.557,1.92,0
2025-01-23 18:00:00,1.895,7.28,0
2025-01-23 19:00:00,0.551,4.91,0
2025-01-23 20:00:00,1.767,3.47,0
2025-01-23 21:00:00,0.872,6.56,0
2025-01-23 22:00:00,1.615,1.84,0
2025-01-23 23:00:00,0.694,1.65,0
2025-01-24 00:00:00,0.917,1.85,0
2025-01-24 01:00:00,0.738,6.88,0
2025-01-24 02:00:00,1.065,5.06,0
2025-01-24 03:00:00,0.073,2.03,0
2025-01-24 04:00:00,0.236,2.25,0
2025-01-24 05:00:00,1.067,4.01,0
2025-01-24 06:00:00,1.216,1.46,0
2025-01-24 07:00:00,0.002,3.18,0
2025-01-24 08:00:00,0.82,1.71,0
2025-01-24 09:00:00,0.964,3.38,0
2025-01-24 10:00:00,0.909,4.97,0
2025-01-24 11:00:00,1.759,6.64,0
2025-01-24 12:00:00,1.954,0.68,0
2025-01-24 13:00:00,0.143,4.58,0
2025-01-24 14:00:00,1.128,4.72,0
2025-01-24 15:00:00,1.268,3.08,0
2025-01-24 16:00:00,0.311,2.43,0
2025-01-24 17:00:00,1.952,2.43,0
2025-01-24 18:00:00,1.423,0.16,0
2025-01-24 19:00:00,1.71,4.9,0
2025-01-24 20:00:00,0.933,2.12,0
2025-01-24 21:00:00,0.488,0.5,0
2025-01-24 22:00:00,0.572,4.08,0
2025-01-24 23:00:00,0.756,4.06,0
2025-01-25 00:00:00,0.63,5.02,0
2025-01-25 01:00:00,1.162,6.77,0
2025-01-25 02:00:00,1.866,3.57,0
2025-01-25 03:00:00,1.033,2.96,0
2025-01-25 04:00:00,0.021,2.8,0
2025-01-25 05:00:00,0.862,2.97,0
2025-01-25 06:00:00,0.487,2.17,0
2025-01-25 07:00:00,0.955,2.72,0
2025-01-25 08:00:00,1.179,2.2,0
2025-01-25 09:00:00,1.045,1.63,0
2025-01-25 10:00:00,0.579,6.63,0
2025-01-25 11:00:00,1.513,5.99,0
2025-01-25 12:00:00,0.004,0.15,0
2025-01-25 13:00:00,1.432,4.07,0
2025-01-25 14:00:00,0.659,3.38,0
2025-01-25 15:00:00,1.367,3.76,0
2025-01-25 16:00:00,0.393,0.89,0
2025-01-25 17:00:00,1.339,0.17,0
2025-01-25 18:00:00,2.026,3.4,0
2025-01-25 19:00:00,0.843,2.83,0
2025-01-25 20:00:00,0.83,2.51,0
2025-01-25 21:00:00,0.973,3.13,0
2025-01-25 22:00:00,0.884,4.58,0
2025-01-25 23:00:00,0.247,5.09,0
2025-01-26 00:00:00,1.243,1.73,0
2025-01-26 01:00:00,1.124,1.9,0
2025-01-26 02:00:00,1.313,3.77,0
2025-01-26 03:00:00,1.018,5.7,0
